Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_336_2048_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326233,0.779801
GemmTunableOp_Half_TN,tn_10240_2048_320_ld_320_320_10240,Default,0.488664
GemmTunableOp_Half_TN,tn_4096_2048_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326252,1.78121
GemmTunableOp_Half_TN,tn_24_2048_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326328,0.0562117
GemmTunableOp_Half_TN,tn_2560_2048_1536_ld_1536_1536_2560,Default,0.530412
GemmTunableOp_Half_TN,tn_512_2048_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326236,0.209552
GemmTunableOp_Half_TN,tn_320_2048_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326271,0.186278
GemmTunableOp_Half_TN,tn_2560_2048_160_ld_160_160_2560,Gemm_Rocblas_-1086326234,0.0659146
GemmTunableOp_Half_NN,nn_1_2048_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0326855
GemmTunableOp_Half_TN,tn_10240_2048_2560_ld_2560_2560_10240,Default,3.34168
GemmTunableOp_Half_TN,tn_2560_2048_2560_ld_2560_2560_2560,Default,0.974617
GemmTunableOp_Half_TN,tn_3584_2048_2560_ld_2560_2560_3584,Default,1.35529
GemmTunableOp_Half_TN,tn_320_2048_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326233,0.747887
GemmTunableOp_Half_TN,tn_336_72_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326329,0.111838
GemmTunableOp_Half_TN,tn_10240_72_320_ld_320_320_10240,Gemm_Rocblas_-1086326294,0.0510661
GemmTunableOp_Half_TN,tn_4096_72_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326267,0.135752
GemmTunableOp_Half_TN,tn_24_72_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326403,0.0234147
GemmTunableOp_Half_TN,tn_2560_72_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326318,0.0680843
GemmTunableOp_Half_TN,tn_512_72_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326318,0.0439156
GemmTunableOp_Half_TN,tn_320_72_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326318,0.0422252
GemmTunableOp_Half_TN,tn_2560_72_160_ld_160_160_2560,Gemm_Rocblas_-1086326430,0.0150546
GemmTunableOp_Half_NN,nn_1_72_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0123049
GemmTunableOp_Half_TN,tn_10240_72_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326234,0.320203
GemmTunableOp_Half_TN,tn_2560_72_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326317,0.109578
GemmTunableOp_Half_TN,tn_3584_72_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326318,0.134249
GemmTunableOp_Half_TN,tn_640_72_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326328,0.0500965
GemmTunableOp_Half_TN,tn_320_72_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326329,0.115435
GemmTunableOp_Half_TN,tn_336_144_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326329,0.112906
GemmTunableOp_Half_TN,tn_10240_144_320_ld_320_320_10240,Gemm_Rocblas_-1086326226,0.0662387
GemmTunableOp_Half_TN,tn_4096_144_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326462,0.209435
GemmTunableOp_Half_TN,tn_24_144_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326395,0.0236834
GemmTunableOp_Half_TN,tn_2560_144_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326462,0.088942
GemmTunableOp_Half_TN,tn_512_144_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326317,0.0509885
GemmTunableOp_Half_TN,tn_320_144_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326318,0.0433896
GemmTunableOp_Half_TN,tn_2560_144_160_ld_160_160_2560,Gemm_Rocblas_-1086326444,0.0179754
GemmTunableOp_Half_NN,nn_1_144_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0122281
GemmTunableOp_Half_TN,tn_10240_144_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326457,0.53734
GemmTunableOp_Half_TN,tn_2560_144_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326462,0.138804
GemmTunableOp_Half_TN,tn_3584_144_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326233,0.195398
GemmTunableOp_Half_TN,tn_640_144_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326323,0.0557534
GemmTunableOp_Half_TN,tn_320_144_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326329,0.116585
GemmTunableOp_Half_TN,tn_336_220_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326329,0.144184
GemmTunableOp_Half_TN,tn_10240_220_320_ld_320_320_10240,Gemm_Rocblas_-1086326226,0.0814908
GemmTunableOp_Half_TN,tn_4096_220_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326466,0.237181
GemmTunableOp_Half_TN,tn_24_220_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326393,0.0276127
GemmTunableOp_Half_TN,tn_2560_220_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326249,0.124466
GemmTunableOp_Half_TN,tn_512_220_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326323,0.054765
GemmTunableOp_Half_TN,tn_320_220_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326325,0.0521113
GemmTunableOp_Half_TN,tn_2560_220_160_ld_160_160_2560,Gemm_Rocblas_-1086326242,0.0251166
GemmTunableOp_Half_NN,nn_1_220_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0121385
GemmTunableOp_Half_TN,tn_10240_220_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326234,0.538196
GemmTunableOp_Half_TN,tn_2560_220_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326317,0.199234
GemmTunableOp_Half_TN,tn_3584_220_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326466,0.246359
GemmTunableOp_Half_TN,tn_640_220_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326323,0.0688739
GemmTunableOp_Half_TN,tn_320_220_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326323,0.144939
GemmTunableOp_Half_TN,tn_336_292_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326322,0.148241
GemmTunableOp_Half_TN,tn_10240_292_320_ld_320_320_10240,Gemm_Rocblas_-1086326224,0.108912
